Company,Pais_sede,Cluster_Jerarquico
AJIO,India,1
ALDO,Canadá,1
Abercrombie & Fitch,Estados Unidos,1
Adidas AG,Alemania,0
Aeropostale Inc.,Estados Unidos,1
Airwair International Ltd (Dr Martens),Reino Unido,0
Aldi Nord,Alemania,1
Aldi Sud,Alemania,1
"Amazon.com, Inc.",Estados Unidos,1
American Eagle Outfitters,Estados Unidos,1
Anta Sports Products,China,1
Anthropologie,Estados Unidos,1
Aritzia,Canadá,1
Asics Corporation,Japón,0
Asos,Reino Unido,0
BCBGMAXAZRIA,Estados Unidos,1
Balenciaga,Francia,0
Bally,Luxemburgo,1
Banana Republic,Estados Unidos,0
Beanpole,Corea del Sur,1
Belle International Holdings,China,1
Bershka,España,0
Big W,Australia,1
Billabong International Ltd,Estados Unidos,1
Bloomingdale's,Estados Unidos,1
Bonprix,Alemania,1
Boohoo Group plc (trading as Debenhams Group),Reino Unido,1
Bosideng International Holdings Limited,China,1
Bottega Veneta,Francia,0
"Brooks Sports, Inc",Estados Unidos,1
Brunello Cucinelli,Italia,1
Buckle Inc,Estados Unidos,1
Burberry Group plc,Reino Unido,0
Burlington Stores Inc,Estados Unidos,1
C&A,Suiza,0
C&J Clark International,Reino Unido,1
Calvin Klein Inc.,Estados Unidos,0
Calzedonia,Italia,0
Canada Goose,Canadá,1
Capri Holdings Ltd (formerly Michael Kors),Reino Unido,1
Carhartt Inc,Estados Unidos,1
Carolina Herrera,España,1
Caroll,Francia,1
Carrefour S.A.,Francia,1
Carter's Inc,Estados Unidos,1
Celine,Francia,0
Celio International,Francia,1
Champion,Estados Unidos,1
Chanel SA,Francia,1
Chico's FAS Inc,Estados Unidos,1
Children's Place Inc,Estados Unidos,1
Chloe,Suiza,1
Christian Dior,Francia,0
Coach Stores Limited,Estados Unidos,0
Columbia Sportswear,Estados Unidos,1
Converse,Estados Unidos,0
Cortefiel SA,España,1
Costco Wholesale,Estados Unidos,1
Cotton on Group,Australia,1
DKNY,Estados Unidos,1
DSW Inc.,Estados Unidos,1
Decathlon Group,Francia,0
Deichmann SE,Alemania,1
Desigual,España,1
Dick's Sporting Goods,Estados Unidos,1
Diesel SpA,Italia,1
"Dillard's, Inc.",Estados Unidos,1
Dolce & Gabbana,Italia,1
Dressmann,Noruega,0
Eddie Bauer,Estados Unidos,1
El Corte Ingles S.A.,España,1
Ermenegildo Zegna,Italia,1
Esprit Holdings Limited,Hong Kong,1
Express Inc,Estados Unidos,1
F&F,Reino Unido,1
FILA,Corea del Sur,1
Fabletics,Estados Unidos,1
Falabella,Chile,1
Famous Footwear,Estados Unidos,1
"Fanatics, Inc",Estados Unidos,1
Fashion Nova,Estados Unidos,1
Fendi,Francia,0
Fjallraven,Suiza,0
Foot Locker Inc.,Estados Unidos,1
Foschini,Sudáfrica,1
"Fossil Group, Inc.",Estados Unidos,1
Free People,Estados Unidos,1
Fruit of the Loom,Estados Unidos,1
Furla,Italia,1
G-star RAW,Países Bajos,0
GU,Japón,0
Gap inc.,Estados Unidos,0
George (brand),Reino Unido,1
Gerry Weber,Alemania,1
Gianni Versace S.r.l.,Reino Unido,1
Gildan Activewear Inc.,Canadá,0
Giorgio Armani SpA,Italia,1
Gucci,Francia,0
Guess? Inc,Estados Unidos,1
Gymshark Limited,Reino Unido,1
H&M,Suecia,0
Hanesbrands,Estados Unidos,1
Heilan Home,China,1
Helly Hansen AS,Canadá,0
Hema,Países Bajos,1
Hermes International,Francia,1
Hollister,Estados Unidos,1
Hudson's Bay Company,Canadá,1
Hugo Boss AG,Alemania,0
Intimissimi S.p.A,Italia,0
Ito Yokado,Japón,1
JD Sports Fashion plc,Reino Unido,1
Jack & Jones,Dinamarca,0
Jack Wolfskin,Estados Unidos,1
Jil Sander,Japón,1
Jockey International Inc,Estados Unidos,1
Joe Fresh,Canadá,1
John Lewis,Reino Unido,0
Jordan (Brand),Estados Unidos,0
K-Way,Italia,1
Kate Spade & Company,Estados Unidos,0
Kathmandu Holdings Ltd,Nueva Zelanda,1
Kaufland,Alemania,1
KiK Textilien und Non-Food GmbH,Alemania,1
Kiabi,Francia,1
Kmart Australia,Australia,0
Kmart Corporation,Estados Unidos,1
Kohl's,Estados Unidos,1
Koovs,India,1
LC Waikiki,Turquía,1
LL Bean,Estados Unidos,1
La Redoute,Francia,1
Lacoste,Suiza,1
"Lands' End, Inc.",Estados Unidos,1
Levi Strauss & Co.,Estados Unidos,0
Li-Ning,China,1
Lidl Limited,Alemania,1
Lindex,Finlandia,0
Longchamp,Francia,1
Louis Vuitton Malletier SA (LVMH),Francia,0
"MANGO (Punto Fa, S.L.)",España,0
Macy's,Estados Unidos,1
