Company,Pais_sede,Cluster_KMeans
AJIO,India,0
ALDO,Canadá,2
Abercrombie & Fitch,Estados Unidos,2
Adidas AG,Alemania,1
Aeropostale Inc.,Estados Unidos,0
Airwair International Ltd (Dr Martens),Reino Unido,2
Aldi Nord,Alemania,2
Aldi Sud,Alemania,2
"Amazon.com, Inc.",Estados Unidos,2
American Eagle Outfitters,Estados Unidos,2
Anta Sports Products,China,0
Anthropologie,Estados Unidos,2
Aritzia,Canadá,2
Asics Corporation,Japón,2
Asos,Reino Unido,1
BCBGMAXAZRIA,Estados Unidos,0
Balenciaga,Francia,1
Bally,Luxemburgo,2
Banana Republic,Estados Unidos,1
Beanpole,Corea del Sur,0
Belle International Holdings,China,0
Bershka,España,1
Big W,Australia,2
Billabong International Ltd,Estados Unidos,0
Bloomingdale's,Estados Unidos,0
Bonprix,Alemania,2
Boohoo Group plc (trading as Debenhams Group),Reino Unido,2
Bosideng International Holdings Limited,China,0
Bottega Veneta,Francia,1
"Brooks Sports, Inc",Estados Unidos,2
Brunello Cucinelli,Italia,2
Buckle Inc,Estados Unidos,0
Burberry Group plc,Reino Unido,1
Burlington Stores Inc,Estados Unidos,2
C&A,Suiza,1
C&J Clark International,Reino Unido,0
Calvin Klein Inc.,Estados Unidos,1
Calzedonia,Italia,2
Canada Goose,Canadá,2
Capri Holdings Ltd (formerly Michael Kors),Reino Unido,2
Carhartt Inc,Estados Unidos,0
Carolina Herrera,España,2
Caroll,Francia,0
Carrefour S.A.,Francia,2
Carter's Inc,Estados Unidos,2
Celine,Francia,2
Celio International,Francia,0
Champion,Estados Unidos,2
Chanel SA,Francia,0
Chico's FAS Inc,Estados Unidos,2
Children's Place Inc,Estados Unidos,2
Chloe,Suiza,2
Christian Dior,Francia,2
Coach Stores Limited,Estados Unidos,1
Columbia Sportswear,Estados Unidos,2
Converse,Estados Unidos,1
Cortefiel SA,España,2
Costco Wholesale,Estados Unidos,0
Cotton on Group,Australia,2
DKNY,Estados Unidos,0
DSW Inc.,Estados Unidos,0
Decathlon Group,Francia,2
