# https://wikirate.org/Fashion_Transparency_Index_2023_full_dataset+Answer?filter%5Bcompany_keyword%5D=&filter%5Bcompany_identifier%5D%5Btype%5D=&filter%5Bcompany_identifier%5D%5Bvalue%5D=&filter%5Bmetric_keyword%5D=&filter%5Btopic%5D%5B%5D=%7E21475094&filter%5Bvalue%5D=&filter%5Bstatus%5D=exists&export_type=answer&format=csv&view=detailed&limit=5000&utf8=%E2%9C%93
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2026-07-22 21:38:47 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Puma+2023,Fashion Revolution+Fashion Transparency Index 2023,Puma,2023,6.6399545215046025,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Puma+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Puma,2023,5.777737773332444,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202704,Fashion Revolution+Discloses Efforts to Invest in Supply Chain Workers,Puma,2023,No,https://wikirate.org/~15072021,15202704,https://about.puma.com/en/sustainability/conferenceofthepeople,2,"Page(s) 103,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202684,Fashion Revolution+Offers Clothing Longevity Business Models,Puma,2023,No,https://wikirate.org/~15072041,15202684,https://about.puma.com/en/sustainability/social,1,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202679,Fashion Revolution+Discloses Take-back Scheme Outcomes,Puma,2023,Yes,https://wikirate.org/~15072139,15202679,https://annual-report.puma.com/2021/downloads/puma-ar-2021_annual-report.pdf,1,"Page(s) 104,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202638,Fashion Revolution+Discloses Breakdown of Reuse/Recyling of Pre-consumer Waste,Puma,2023,Yes,https://wikirate.org/~15072139,15202638,https://annual-report.puma.com/2021/downloads/puma-ar-2021_annual-report.pdf,1,"Page(s) 103,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202584,Fashion Revolution+Discloses Progress to Reducing Textiles Derived from Virgin Fossil Fuels,Puma,2023,Yes,https://wikirate.org/~15072139,15202584,https://annual-report.puma.com/2021/downloads/puma-ar-2021_annual-report.pdf,1,"Page(s) 114,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202579,Fashion Revolution+Targets to Reduce Textiles Derived from Virgin Fossil Fuels,Puma,2023,Yes,https://wikirate.org/~15072139,15202579,https://annual-report.puma.com/2021/downloads/puma-ar-2021_annual-report.pdf,1,"Page(s) 106,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+H_M+2023,Fashion Revolution+Fashion Transparency Index 2023,H&M,2023,7.109952921622202,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+H_M+2023,Fashion Revolution+5. Spotlight Issues Score (2023),H&M,2023,6.4443777733324445,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176497,Fashion Revolution+Discloses Efforts to Invest in Supply Chain Workers,H&M,2023,Yes,https://wikirate.org/~15076047,15176497,https://hmgroup.com/wp-content/uploads/2023/03/HM-Group-Sustainability-Disclosure-2022.pdf,2,Page(s) p 68,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176477,Fashion Revolution+Offers Clothing Longevity Business Models,H&M,2023,Yes,https://wikirate.org/~15075922,15176477,https://hmgroup.com/sustainability/sustainability-reporting/,2,"Page(s) 42, Page(s) Sustainability Disclosure 2021",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176472,Fashion Revolution+Discloses Take-back Scheme Outcomes,H&M,2023,Yes,https://wikirate.org/~15075922,15176472,https://hmgroup.com/sustainability/sustainability-reporting/,2,"Page(s) 43, Page(s) Sustainability Disclosure 2021",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176457,Fashion Revolution+Discloses Breakdown of Reuse/Recyling of Pre-consumer Waste,H&M,2023,No,https://wikirate.org/~15076047,15176457,https://hmgroup.com/wp-content/uploads/2023/03/HM-Group-Sustainability-Disclosure-2022.pdf,2,"Page(s) 49,",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176419,Fashion Revolution+Discloses Progress to Reducing Textiles Derived from Virgin Fossil Fuels,H&M,2023,Yes,https://wikirate.org/~15075922,15176419,https://hmgroup.com/sustainability/sustainability-reporting/,2,"Page(s) 34, Page(s) Sustainability Disclosure 2021",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176414,Fashion Revolution+Targets to Reduce Textiles Derived from Virgin Fossil Fuels,H&M,2023,Yes,https://wikirate.org/~15075922,15176414,https://hmgroup.com/sustainability/sustainability-reporting/,2,"Page(s) 34, Page(s) Sustainability Disclosure 2021",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+Fashion Transparency Index 2023,Marks and Spencer Group plc,2023,3.809988257151323,,,,,,GB0031274896
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Marks and Spencer Group plc,2023,2.7777666666666665,,,,,,GB0031274896
https://wikirate.org/~15190559,Fashion Revolution+Discloses Efforts to Invest in Supply Chain Workers,Marks and Spencer Group plc,2023,No,https://wikirate.org/~15073849,15190559,https://corporate.marksandspencer.com/sites/marksandspencer/files/marks-spencer/sustainabilty-at-M-S/sustainability-report-2022.pdf,1,"Page(s) pg. 24,",GB0031274896
https://wikirate.org/~15190542,Fashion Revolution+Offers Clothing Longevity Business Models,Marks and Spencer Group plc,2023,Yes,https://wikirate.org/~15073698,15190542,https://corporate.marksandspencer.com/media/press-releases/marks-spencer-puts-value-and-versatility-heart-latest-rental-collection,2,,GB0031274896
https://wikirate.org/~15190538,Fashion Revolution+Discloses Take-back Scheme Outcomes,Marks and Spencer Group plc,2023,Yes,https://wikirate.org/~15083981,15190538,https://www.marksandspencer.com/c/plan-a-shwopping,1,,GB0031274896
https://wikirate.org/~15190526,Fashion Revolution+Discloses Breakdown of Reuse/Recyling of Pre-consumer Waste,Marks and Spencer Group plc,2023,No,https://wikirate.org/~15073693,15190526,https://corporate.marksandspencer.com/media/press-releases/lets-shwop-ms-encourages-65-customers-planning-new-years-wardrobe-clear-out,1,,GB0031274896
https://wikirate.org/~15190492,Fashion Revolution+Discloses Progress to Reducing Textiles Derived from Virgin Fossil Fuels,Marks and Spencer Group plc,2023,Yes,https://wikirate.org/~15073914,15190492,https://corporate.marksandspencer.com/sustainability/our-products/ch-raw-materials/polyester,1,,GB0031274896
https://wikirate.org/~15190488,Fashion Revolution+Targets to Reduce Textiles Derived from Virgin Fossil Fuels,Marks and Spencer Group plc,2023,Yes,https://wikirate.org/~15073914,15190488,https://corporate.marksandspencer.com/sustainability/our-products/ch-raw-materials/polyester,1,,GB0031274896
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Gap_inc+2023,Fashion Revolution+Fashion Transparency Index 2023,Gap inc.,2023,4.809966112175446,,,,,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Gap_inc+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Gap inc.,2023,3.7777711111111114,,,,,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
