# https://wikirate.org/Fashion_Transparency_Index_2023_full_dataset+Answer?filter%5Bcompany_keyword%5D=&filter%5Bcompany_identifier%5D%5Btype%5D=&filter%5Bcompany_identifier%5D%5Bvalue%5D=&filter%5Bmetric_keyword%5D=&filter%5Btopic%5D%5B%5D=%7E21475292&filter%5Bvalue%5D=&filter%5Bstatus%5D=exists&export_type=answer&format=csv&view=detailed&limit=5000&utf8=%E2%9C%93
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2026-07-22 22:14:39 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Puma+2023,Fashion Revolution+Fashion Transparency Index 2023,Puma,2023,6.6399545215046025,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Puma+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Puma,2023,5.777737773332444,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+2_Governance_Score+Puma+2023,Fashion Revolution+2. Governance Score,Puma,2023,10.0,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15229799,Fashion Revolution+Publishes Responsible Purchasing Code of Conduct,Puma,2023,No,https://wikirate.org/~15072139,15229799,https://annual-report.puma.com/2021/downloads/puma-ar-2021_annual-report.pdf,1,"Page(s) 42,43,47,48,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202212,Fashion Revolution+Worker Representation on Board,Puma,2023,Yes,https://wikirate.org/~15072139,15202212,https://annual-report.puma.com/2021/downloads/puma-ar-2021_annual-report.pdf,1,"Page(s) 11,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+H_M+2023,Fashion Revolution+Fashion Transparency Index 2023,H&M,2023,7.109952921622202,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+H_M+2023,Fashion Revolution+5. Spotlight Issues Score (2023),H&M,2023,6.4443777733324445,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+2_Governance_Score+H_M+2023,Fashion Revolution+2. Governance Score,H&M,2023,10.0,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15229609,Fashion Revolution+Publishes Responsible Purchasing Code of Conduct,H&M,2023,Yes,https://wikirate.org/~15075887,15229609,https://hmgroup.com/sustainability/leading-the-change/transparency/responsible-purchasing-practices/,1,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176082,Fashion Revolution+Worker Representation on Board,H&M,2023,Yes,https://wikirate.org/~15075792,15176082,https://hmgroup.com/about-us/corporate-governance/board-of-directors/,1,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+Fashion Transparency Index 2023,Marks and Spencer Group plc,2023,3.809988257151323,,,,,,GB0031274896
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Marks and Spencer Group plc,2023,2.7777666666666665,,,,,,GB0031274896
https://wikirate.org/Fashion_Revolution+2_Governance_Score+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+2. Governance Score,Marks and Spencer Group plc,2023,3.6363485000000004,,,,,,GB0031274896
https://wikirate.org/~15229717,Fashion Revolution+Publishes Responsible Purchasing Code of Conduct,Marks and Spencer Group plc,2023,No,https://wikirate.org/~15073859,15229717,https://corporate.marksandspencer.com/sustainability,1,,GB0031274896
https://wikirate.org/~15190167,Fashion Revolution+Worker Representation on Board,Marks and Spencer Group plc,2023,No,https://wikirate.org/~15073859,15190167,https://corporate.marksandspencer.com/sustainability,1,,GB0031274896
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Gap_inc+2023,Fashion Revolution+Fashion Transparency Index 2023,Gap inc.,2023,4.809966112175446,,,,,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Gap_inc+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Gap inc.,2023,3.7777711111111114,,,,,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/Fashion_Revolution+2_Governance_Score+Gap_inc+2023,Fashion Revolution+2. Governance Score,Gap inc.,2023,5.4541515,,,,,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/~15229401,Fashion Revolution+Publishes Responsible Purchasing Code of Conduct,Gap inc.,2023,No,https://wikirate.org/~15082474,15229401,https://www.gapinc.com/en-us/values/sustainability,1,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/~15149480,Fashion Revolution+Worker Representation on Board,Gap inc.,2023,No,https://wikirate.org/~15082474,15149480,https://www.gapinc.com/en-us/values/sustainability,1,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Asos+2023,Fashion Revolution+Fashion Transparency Index 2023,Asos,2023,4.999942662832959,,,,,,GB0030927254;US00212V1052
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Asos+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Asos,2023,3.111055546664889,,,,,,GB0030927254;US00212V1052
https://wikirate.org/Fashion_Revolution+2_Governance_Score+Asos+2023,Fashion Revolution+2. Governance Score,Asos,2023,5.4541515,,,,,,GB0030927254;US00212V1052
https://wikirate.org/~15229389,Fashion Revolution+Publishes Responsible Purchasing Code of Conduct,Asos,2023,Yes,https://wikirate.org/~15079971,15229389,https://www.asosplc.com/fashion-with-integrity/people/modern-slavery-and-human-rights/,1,,GB0030927254;US00212V1052
https://wikirate.org/~15147656,Fashion Revolution+Worker Representation on Board,Asos,2023,No,https://wikirate.org/~15079961,15147656,https://www.asosplc.com/,1,None,GB0030927254;US00212V1052
