# https://wikirate.org/Fashion_Transparency_Index_2023_full_dataset+Answer?filter%5Bcompany_keyword%5D=&filter%5Bcompany_identifier%5D%5Btype%5D=&filter%5Bcompany_identifier%5D%5Bvalue%5D=&filter%5Bmetric_keyword%5D=&filter%5Btopic%5D%5B%5D=%7E21475332&filter%5Bvalue%5D=&filter%5Bstatus%5D=exists&export_type=answer&format=csv&view=detailed&limit=5000&utf8=%E2%9C%93
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2026-07-22 22:16:54 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Puma+2023,Fashion Revolution+Fashion Transparency Index 2023,Puma,2023,6.6399545215046025,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Puma+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Puma,2023,5.777737773332444,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+4_Know_Show_Fix_Score+Puma+2023,"Fashion Revolution+4. Know, Show & Fix Score",Puma,2023,6.428380952380952,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202312,"Fashion Revolution+Scope, Process and Accreditation for Environmental Audits",Puma,2023,Yes,https://wikirate.org/~15087219,15202312,https://about.puma.com/en/sustainability/codes-and-handbooks,2,"Page(s) 12, 13, 14, 16,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202307,Fashion Revolution+Environmental Risk Prevention and Remediation Outcomes Published,Puma,2023,Yes,https://wikirate.org/~15080868,15202307,https://www.cdp.net/en/responses?page=2&per_page=5&queries%5Bname%5D=PUMA+SE&sort_by=project_year&sort_dir=desc&utf8=%E2%9C%93,2,Page(s) 72,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202301,Fashion Revolution+Prevention Mitigation and Remediation of Environmental Risks,Puma,2023,Yes,https://wikirate.org/~15080868,15202301,https://www.cdp.net/en/responses?page=2&per_page=5&queries%5Bname%5D=PUMA+SE&sort_by=project_year&sort_dir=desc&utf8=%E2%9C%93,2,Page(s) 72,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202287,Fashion Revolution+Describes Environmental Due Diligence Process,Puma,2023,Yes,https://wikirate.org/~15087219,15202287,https://about.puma.com/en/sustainability/codes-and-handbooks,2,"Page(s) 21 - 28,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202472,Fashion Revolution+Discloses Free on Board (FOB) Price Changes (COVID-19 Response),Puma,2023,No,https://wikirate.org/~15072041,15202472,https://about.puma.com/en/sustainability/social,1,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+H_M+2023,Fashion Revolution+Fashion Transparency Index 2023,H&M,2023,7.109952921622202,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+H_M+2023,Fashion Revolution+5. Spotlight Issues Score (2023),H&M,2023,6.4443777733324445,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+4_Know_Show_Fix_Score+H_M+2023,"Fashion Revolution+4. Know, Show & Fix Score",H&M,2023,5.714142857142857,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176168,"Fashion Revolution+Scope, Process and Accreditation for Environmental Audits",H&M,2023,Yes,https://wikirate.org/~15075922,15176168,https://hmgroup.com/sustainability/sustainability-reporting/,2,"Page(s) 68, Page(s) Sustainability Disclosure 2021",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176163,Fashion Revolution+Environmental Risk Prevention and Remediation Outcomes Published,H&M,2023,Yes,https://wikirate.org/~15076032,15176163,https://hmgroup.com/wp-content/uploads/2023/03/HM-Group-Annual-and-Sustainability-Report-2022.pdf,2,"Page(s) 26-32,",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176158,Fashion Revolution+Prevention Mitigation and Remediation of Environmental Risks,H&M,2023,Yes,https://wikirate.org/~15076032,15176158,https://hmgroup.com/wp-content/uploads/2023/03/HM-Group-Annual-and-Sustainability-Report-2022.pdf,2,"Page(s) 103-107,",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176144,Fashion Revolution+Describes Environmental Due Diligence Process,H&M,2023,Yes,https://wikirate.org/~15075922,15176144,https://hmgroup.com/sustainability/sustainability-reporting/,2,"Page(s) 72-74, Page(s) Sustainability Disclosure 2021",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176317,Fashion Revolution+Discloses Free on Board (FOB) Price Changes (COVID-19 Response),H&M,2023,No,https://wikirate.org/~15075832,15176317,https://hmgroup.com/sustainability/,1,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+Fashion Transparency Index 2023,Marks and Spencer Group plc,2023,3.809988257151323,,,,,,GB0031274896
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Marks and Spencer Group plc,2023,2.7777666666666665,,,,,,GB0031274896
https://wikirate.org/Fashion_Revolution+4_Know_Show_Fix_Score+Marks_and_Spencer_Group_plc+2023,"Fashion Revolution+4. Know, Show & Fix Score",Marks and Spencer Group plc,2023,4.5237380952380954,,,,,,GB0031274896
https://wikirate.org/~15190252,"Fashion Revolution+Scope, Process and Accreditation for Environmental Audits",Marks and Spencer Group plc,2023,Yes,https://wikirate.org/~15073844,15190252,https://corporate.marksandspencer.com/sites/marksandspencer/files/marks-spencer/sustainability/sustainability-ms/sustainabilityreport2022.pdf,1,"Page(s) 33,",GB0031274896
https://wikirate.org/~15190248,Fashion Revolution+Environmental Risk Prevention and Remediation Outcomes Published,Marks and Spencer Group plc,2023,No,https://wikirate.org/~15073859,15190248,https://corporate.marksandspencer.com/sustainability,1,,GB0031274896
https://wikirate.org/~15190244,Fashion Revolution+Prevention Mitigation and Remediation of Environmental Risks,Marks and Spencer Group plc,2023,No,https://wikirate.org/~15073859,15190244,https://corporate.marksandspencer.com/sustainability,1,,GB0031274896
https://wikirate.org/~15190232,Fashion Revolution+Describes Environmental Due Diligence Process,Marks and Spencer Group plc,2023,Yes,https://wikirate.org/~15073854,15190232,https://corporate.marksandspencer.com/sites/marksandspencer/files/marks-spencer/sustainabilty-at-m-s/sustainabilityreport2022-new.pdf,1,,GB0031274896
https://wikirate.org/~15190393,Fashion Revolution+Discloses Free on Board (FOB) Price Changes (COVID-19 Response),Marks and Spencer Group plc,2023,No,https://wikirate.org/~15073859,15190393,https://corporate.marksandspencer.com/sustainability,1,,GB0031274896
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Gap_inc+2023,Fashion Revolution+Fashion Transparency Index 2023,Gap inc.,2023,4.809966112175446,,,,,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Gap_inc+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Gap inc.,2023,3.7777711111111114,,,,,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/Fashion_Revolution+4_Know_Show_Fix_Score+Gap_inc+2023,"Fashion Revolution+4. Know, Show & Fix Score",Gap inc.,2023,5.476095238095238,,,,,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
