# https://wikirate.org/Fashion_Transparency_Index_2023_full_dataset+Answer?filter%5Bcompany_keyword%5D=&filter%5Bcompany_identifier%5D%5Btype%5D=&filter%5Bcompany_identifier%5D%5Bvalue%5D=&filter%5Bmetric_keyword%5D=&filter%5Btopic%5D%5B%5D=%7E21475420&filter%5Bvalue%5D=&filter%5Bstatus%5D=exists&export_type=answer&format=csv&view=detailed&limit=5000&utf8=%E2%9C%93
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2026-07-22 22:22:03 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Puma+2023,Fashion Revolution+Fashion Transparency Index 2023,Puma,2023,6.6399545215046025,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+2_Governance_Score+Puma+2023,Fashion Revolution+2. Governance Score,Puma,2023,10.0,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202217,Fashion Revolution+Responsible Tax Strategy,Puma,2023,Yes,https://wikirate.org/~15072976,15202217,https://cdn.about.puma.com/-/media/files/pdf/investor-relations/corporate-governance/2022/steuerstrategie/puma-tax-strategy.pdf?rev=-1&hash=BAC0783B3A1E9B8672B07A21FB28F82B,1,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+H_M+2023,Fashion Revolution+Fashion Transparency Index 2023,H&M,2023,7.109952921622202,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+2_Governance_Score+H_M+2023,Fashion Revolution+2. Governance Score,H&M,2023,10.0,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176086,Fashion Revolution+Responsible Tax Strategy,H&M,2023,Yes,https://wikirate.org/~15075797,15176086,https://hmgroup.com/about-us/corporate-governance/policies/,1,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+Fashion Transparency Index 2023,Marks and Spencer Group plc,2023,3.809988257151323,,,,,,GB0031274896
https://wikirate.org/Fashion_Revolution+2_Governance_Score+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+2. Governance Score,Marks and Spencer Group plc,2023,3.6363485000000004,,,,,,GB0031274896
https://wikirate.org/~15190171,Fashion Revolution+Responsible Tax Strategy,Marks and Spencer Group plc,2023,Yes,https://wikirate.org/~15073814,15190171,https://corporate.marksandspencer.com/sites/marksandspencer/files/marks-spencer/policies/tax-policy-new.pdf,1,,GB0031274896
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Gap_inc+2023,Fashion Revolution+Fashion Transparency Index 2023,Gap inc.,2023,4.809966112175446,,,,,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/Fashion_Revolution+2_Governance_Score+Gap_inc+2023,Fashion Revolution+2. Governance Score,Gap inc.,2023,5.4541515,,,,,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/~15149492,Fashion Revolution+Responsible Tax Strategy,Gap inc.,2023,Yes,https://wikirate.org/~15075385,15149492,https://gapinc-prod.azureedge.net/gapmedia/gapcorporatesite/media/images/investors/compliance/gap-tax-strategy_23-august-2022.pdf,1,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
