# https://wikirate.org/Fashion_Transparency_Index_2023_full_dataset+Answer?filter%5Bcompany_keyword%5D=&filter%5Bcompany_identifier%5D%5Btype%5D=&filter%5Bcompany_identifier%5D%5Bvalue%5D=&filter%5Bmetric_keyword%5D=&filter%5Btopic%5D%5B%5D=%7E21475380&filter%5Bvalue%5D=&filter%5Bstatus%5D=exists&export_type=answer&format=csv&view=detailed&limit=5000&utf8=%E2%9C%93
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2026-07-22 22:19:56 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Puma+2023,Fashion Revolution+Fashion Transparency Index 2023,Puma,2023,6.6399545215046025,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Puma+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Puma,2023,5.777737773332444,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+4_Know_Show_Fix_Score+Puma+2023,"Fashion Revolution+4. Know, Show & Fix Score",Puma,2023,6.428380952380952,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202775,"Fashion Revolution+Discloses Content of Scope 1, 2 and 3 Emissions",Puma,2023,Yes,https://wikirate.org/~15072139,15202775,https://annual-report.puma.com/2021/downloads/puma-ar-2021_annual-report.pdf,1,"Page(s) 79, 81,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202403,Fashion Revolution+Discloses Number of Workers Affected by Recruitment Fees,Puma,2023,Yes,https://wikirate.org/~15072139,15202403,https://annual-report.puma.com/2021/downloads/puma-ar-2021_annual-report.pdf,1,"Page(s) 62,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202312,"Fashion Revolution+Scope, Process and Accreditation for Environmental Audits",Puma,2023,Yes,https://wikirate.org/~15087219,15202312,https://about.puma.com/en/sustainability/codes-and-handbooks,2,"Page(s) 12, 13, 14, 16,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202296,Fashion Revolution+Environmental Risks Impacts and Violations Identified,Puma,2023,Yes,https://wikirate.org/~15080868,15202296,https://www.cdp.net/en/responses?page=2&per_page=5&queries%5Bname%5D=PUMA+SE&sort_by=project_year&sort_dir=desc&utf8=%E2%9C%93,2,Page(s) 72,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202729,Fashion Revolution+Publishes Supplier Wastewater Test Results,Puma,2023,Yes,https://wikirate.org/~15072139,15202729,https://annual-report.puma.com/2021/downloads/puma-ar-2021_annual-report.pdf,1,"Page(s) 96-97,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202555,Fashion Revolution+Publishes Racial Equality Actions,Puma,2023,No,https://wikirate.org/~15072051,15202555,https://about.puma.com/en/this-is-puma/reform,1,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202520,Fashion Revolution+Discloses Prevalance of Collective Bargaining Violations,Puma,2023,Yes,https://wikirate.org/~15072139,15202520,https://annual-report.puma.com/2021/downloads/puma-ar-2021_annual-report.pdf,1,"Page(s) 55,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202516,Fashion Revolution+Discloses Number of Collective Bargaining Agreements Providing Wages Above Legal Minimum,Puma,2023,No,https://wikirate.org/~15072041,15202516,https://about.puma.com/en/sustainability/social,1,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202488,Fashion Revolution+Discloses Time Taken to Pay Purchase Orders,Puma,2023,No,https://wikirate.org/~15072041,15202488,https://about.puma.com/en/sustainability/social,1,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202480,Fashion Revolution+Discloses Policy on Up-Front Supplier Payments,Puma,2023,No,https://wikirate.org/~15072041,15202480,https://about.puma.com/en/sustainability/social,1,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202476,Fashion Revolution+Publishes Standard Supplier Agreement Template,Puma,2023,No,https://wikirate.org/~15072041,15202476,https://about.puma.com/en/sustainability/social,1,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202736,Fashion Revolution+Discloses Water Use,Puma,2023,"Owned and operated facilities, Manufacturing and processing facilities",https://wikirate.org/~15072139,15202736,https://annual-report.puma.com/2021/downloads/puma-ar-2021_annual-report.pdf,1,"Page(s) 121 , 121 ,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+H_M+2023,Fashion Revolution+Fashion Transparency Index 2023,H&M,2023,7.109952921622202,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+H_M+2023,Fashion Revolution+5. Spotlight Issues Score (2023),H&M,2023,6.4443777733324445,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+4_Know_Show_Fix_Score+H_M+2023,"Fashion Revolution+4. Know, Show & Fix Score",H&M,2023,5.714142857142857,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176548,"Fashion Revolution+Discloses Content of Scope 1, 2 and 3 Emissions",H&M,2023,Yes,https://wikirate.org/~15075922,15176548,https://hmgroup.com/sustainability/sustainability-reporting/,2,"Page(s) 23, Page(s) Sustainability Disclosure 2021",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176250,Fashion Revolution+Discloses Number of Workers Affected by Recruitment Fees,H&M,2023,Yes,https://wikirate.org/~15076037,15176250,https://hmgroup.com/wp-content/uploads/2023/03/HM-Group-Modern-Slavery-Statement-2022.pdf,1,"Page(s) 11,",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176168,"Fashion Revolution+Scope, Process and Accreditation for Environmental Audits",H&M,2023,Yes,https://wikirate.org/~15075922,15176168,https://hmgroup.com/sustainability/sustainability-reporting/,2,"Page(s) 68, Page(s) Sustainability Disclosure 2021",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176153,Fashion Revolution+Environmental Risks Impacts and Violations Identified,H&M,2023,Yes,https://wikirate.org/~15075922,15176153,https://hmgroup.com/sustainability/sustainability-reporting/,2,"Page(s) 72-74, Page(s) Sustainability Disclosure 2021",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176512,Fashion Revolution+Publishes Supplier Wastewater Test Results,H&M,2023,Yes,https://wikirate.org/~15076047,15176512,https://hmgroup.com/wp-content/uploads/2023/03/HM-Group-Sustainability-Disclosure-2022.pdf,2,Page(s) Page 36: Sustainability Disclosure 2022 (For Foundational parameters),SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176390,Fashion Revolution+Publishes Racial Equality Actions,H&M,2023,No,https://wikirate.org/~15075832,15176390,https://hmgroup.com/sustainability/,1,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176359,Fashion Revolution+Discloses Prevalance of Collective Bargaining Violations,H&M,2023,Yes,https://wikirate.org/~15075922,15176359,https://hmgroup.com/sustainability/sustainability-reporting/,2,"Page(s) 59, Page(s) Sustainability Disclosure 2021",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176355,Fashion Revolution+Discloses Number of Collective Bargaining Agreements Providing Wages Above Legal Minimum,H&M,2023,No,https://wikirate.org/~15075832,15176355,https://hmgroup.com/sustainability/,1,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176333,Fashion Revolution+Discloses Time Taken to Pay Purchase Orders,H&M,2023,Yes,https://wikirate.org/~15075887,15176333,https://hmgroup.com/sustainability/leading-the-change/transparency/responsible-purchasing-practices/,1,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176325,Fashion Revolution+Discloses Policy on Up-Front Supplier Payments,H&M,2023,No,https://wikirate.org/~15075832,15176325,https://hmgroup.com/sustainability/,1,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176321,Fashion Revolution+Publishes Standard Supplier Agreement Template,H&M,2023,No,https://wikirate.org/~15068498,15176321,https://hmgroup.com/sustainability/leading-the-change/transparency/responsible-purchasing-practices,1,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
