# https://wikirate.org/Fashion_Transparency_Index_2023_full_dataset+Answer?filter%5Byear%5D%5B%5D=2023&filter%5Bcompany_keyword%5D=&filter%5Bcompany_identifier%5D%5Btype%5D=&filter%5Bcompany_identifier%5D%5Bvalue%5D=&filter%5Bmetric%5D%5B%5D=%7E5822638&filter%5Bmetric%5D%5B%5D=%7E5821698&filter%5Bmetric%5D%5B%5D=%7E7606840&filter%5Bmetric%5D%5B%5D=%7E15221816&filter%5Bmetric_keyword%5D=&filter%5Bvalue%5D=&filter%5Bstatus%5D=exists&export_type=answer&format=csv&view=detailed&limit=5000&utf8=%E2%9C%93&filter%5Bmetric_keyword%5D=&format=csv&view=titled&limit=5000
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2026-07-23 01:31:10 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~15089120,Fashion Revolution+1.1 Own Operations Policies,Aeropostale Inc.,2023,"Diversity & Inclusion, Anti-bribery Corruption & Presentation of False Information",https://wikirate.org/~15369140
https://wikirate.org/~15089634,Fashion Revolution+1.1 Own Operations Policies,AJIO,2023,"Harassment & Violence, Energy & Carbon Emissions, Biodiversity & Conservation, Water Usage & Footprint, Community Engagement, Discrimination, Waste & Recycling (Packaging/Office/Retail), Freedom of Association Right to Organise & Collective Bargaining, Maternity Rights & Parental Leave, Diversity & Inclusion, Anti-bribery Corruption & Presentation of False Information, Health & Safety",https://wikirate.org/~15061213
https://wikirate.org/~15090155,Fashion Revolution+1.1 Own Operations Policies,Anta Sports Products,2023,Energy & Carbon Emissions,https://wikirate.org/~15059778
https://wikirate.org/~15090672,Fashion Revolution+1.1 Own Operations Policies,BCBGMAXAZRIA,2023,None,https://wikirate.org/~15059107
https://wikirate.org/~15091185,Fashion Revolution+1.1 Own Operations Policies,Beanpole,2023,"Energy & Carbon Emissions, Water Usage & Footprint, Community Engagement, Discrimination, Maternity Rights & Parental Leave, Diversity & Inclusion, Anti-bribery Corruption & Presentation of False Information, Health & Safety",https://wikirate.org/~15063697
https://wikirate.org/~15091713,Fashion Revolution+1.1 Own Operations Policies,Belle International Holdings,2023,None,https://wikirate.org/~15063583
https://wikirate.org/~15092226,Fashion Revolution+1.1 Own Operations Policies,Smart Bazaar,2023,None,https://wikirate.org/~15064513
https://wikirate.org/~15092742,Fashion Revolution+1.1 Own Operations Policies,Quiksilver Inc,2023,"Community Engagement, Animal Welfare, Diversity & Inclusion, Restricted Substance List",https://wikirate.org/~15060252
https://wikirate.org/~15092747,Fashion Revolution+1.1 Own Operations Policies,Billabong International Ltd,2023,"Community Engagement, Animal Welfare, Diversity & Inclusion, Restricted Substance List",https://wikirate.org/~15060252
https://wikirate.org/~15092752,Fashion Revolution+1.1 Own Operations Policies,Roxy,2023,"Community Engagement, Animal Welfare, Diversity & Inclusion, Restricted Substance List",https://wikirate.org/~15060252
https://wikirate.org/~15094490,Fashion Revolution+1.1 Own Operations Policies,Bosideng International Holdings Limited,2023,None,https://wikirate.org/~15062703
https://wikirate.org/~15095002,Fashion Revolution+1.1 Own Operations Policies,Brunello Cucinelli,2023,"Harassment & Violence, Waste & Recycling (Product/Textiles), Energy & Carbon Emissions, Water Usage & Footprint, Community Engagement, Working Hours & Rest Breaks, Discrimination, Equal Pay, Freedom of Association Right to Organise & Collective Bargaining, Mental Health & Wellbeing (2021 only), Waste & Recycling (Packaging/Office/Retail), Diversity & Inclusion, Anti-bribery Corruption & Presentation of False Information, Health & Safety, Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions)",https://wikirate.org/~15062307
https://wikirate.org/~15095533,Fashion Revolution+1.1 Own Operations Policies,Buckle Inc,2023,"Harassment & Violence, Discrimination, Diversity & Inclusion, Anti-bribery Corruption & Presentation of False Information",https://wikirate.org/~15059239
https://wikirate.org/~15096046,Fashion Revolution+1.1 Own Operations Policies,Carhartt Inc,2023,"Community Engagement, Working Hours & Rest Breaks, Discrimination, Animal Welfare, Freedom of Association Right to Organise & Collective Bargaining, Diversity & Inclusion, Anti-bribery Corruption & Presentation of False Information, Health & Safety, Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions)",https://wikirate.org/~15060323
https://wikirate.org/~15096559,Fashion Revolution+1.1 Own Operations Policies,Caroll,2023,"Energy & Carbon Emissions, Working Hours & Rest Breaks, Discrimination, Equal Pay, Freedom of Association Right to Organise & Collective Bargaining, Waste & Recycling (Packaging/Office/Retail), Diversity & Inclusion, Anti-bribery Corruption & Presentation of False Information, Health & Safety, Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions)",https://wikirate.org/~15063122
https://wikirate.org/~15097095,Fashion Revolution+1.1 Own Operations Policies,Carrefour S.A.,2023,"Energy & Carbon Emissions, Biodiversity & Conservation, Water Usage & Footprint, Working Hours & Rest Breaks, Discrimination, Animal Welfare, Equal Pay, Freedom of Association Right to Organise & Collective Bargaining, Mental Health & Wellbeing (2021 only), Waste & Recycling (Packaging/Office/Retail), Diversity & Inclusion, Anti-bribery Corruption & Presentation of False Information, Health & Safety, Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions)",https://wikirate.org/~15060357
https://wikirate.org/~15097637,Fashion Revolution+1.1 Own Operations Policies,Celio International,2023,Diversity & Inclusion,https://wikirate.org/~15059179
https://wikirate.org/~15098150,Fashion Revolution+1.1 Own Operations Policies,Chanel SA,2023,"Harassment & Violence, Energy & Carbon Emissions, Biodiversity & Conservation, Community Engagement, Discrimination, Waste & Recycling (Packaging/Office/Retail), Maternity Rights & Parental Leave, Diversity & Inclusion, Anti-bribery Corruption & Presentation of False Information, Health & Safety, Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions)",https://wikirate.org/~15060372
https://wikirate.org/~15098689,Fashion Revolution+1.1 Own Operations Policies,Chico's FAS Inc,2023,"Harassment & Violence, Waste & Recycling (Product/Textiles), Water Usage & Footprint, Community Engagement, Working Hours & Rest Breaks, Discrimination, Animal Welfare, Equal Pay, Mental Health & Wellbeing (2021 only), Maternity Rights & Parental Leave, Waste & Recycling (Packaging/Office/Retail), Diversity & Inclusion, Anti-bribery Corruption & Presentation of False Information, Health & Safety, Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions)",https://wikirate.org/~15062822
