# https://wikirate.org/Fashion_Transparency_Index_2023_full_dataset+Answer?filter%5Bcompany_keyword%5D=&filter%5Bcompany_identifier%5D%5Btype%5D=&filter%5Bcompany_identifier%5D%5Bvalue%5D=&filter%5Bmetric_keyword%5D=&filter%5Btopic%5D%5B%5D=%7E21475632&filter%5Bvalue%5D=&filter%5Bstatus%5D=exists&export_type=answer&format=csv&view=detailed&limit=5000&utf8=%E2%9C%93
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2026-07-22 22:06:25 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Puma+2023,Fashion Revolution+Fashion Transparency Index 2023,Puma,2023,6.6399545215046025,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Puma+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Puma,2023,5.777737773332444,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202555,Fashion Revolution+Publishes Racial Equality Actions,Puma,2023,No,https://wikirate.org/~15072051,15202555,https://about.puma.com/en/this-is-puma/reform,1,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+H_M+2023,Fashion Revolution+Fashion Transparency Index 2023,H&M,2023,7.109952921622202,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+H_M+2023,Fashion Revolution+5. Spotlight Issues Score (2023),H&M,2023,6.4443777733324445,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176390,Fashion Revolution+Publishes Racial Equality Actions,H&M,2023,No,https://wikirate.org/~15075832,15176390,https://hmgroup.com/sustainability/,1,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+Fashion Transparency Index 2023,Marks and Spencer Group plc,2023,3.809988257151323,,,,,,GB0031274896
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Marks and Spencer Group plc,2023,2.7777666666666665,,,,,,GB0031274896
https://wikirate.org/~15190464,Fashion Revolution+Publishes Racial Equality Actions,Marks and Spencer Group plc,2023,No,https://wikirate.org/~15073773,15190464,https://corporate.marksandspencer.com/sites/marksandspencer/files/marks-spencer/m-and-s_ar22_full-ar.pdf,1,"Page(s) pg 29,",GB0031274896
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Gap_inc+2023,Fashion Revolution+Fashion Transparency Index 2023,Gap inc.,2023,4.809966112175446,,,,,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Gap_inc+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Gap inc.,2023,3.7777711111111114,,,,,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/~15150376,Fashion Revolution+Publishes Racial Equality Actions,Gap inc.,2023,No,https://wikirate.org/~15082474,15150376,https://www.gapinc.com/en-us/values/sustainability,1,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Asos+2023,Fashion Revolution+Fashion Transparency Index 2023,Asos,2023,4.999942662832959,,,,,,GB0030927254;US00212V1052
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Asos+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Asos,2023,3.111055546664889,,,,,,GB0030927254;US00212V1052
https://wikirate.org/~15147964,Fashion Revolution+Publishes Racial Equality Actions,Asos,2023,No,https://wikirate.org/~15072420,15147964,https://asos-12954-s3.s3.eu-west-2.amazonaws.com/files/6716/4018/6712/2030_Fashion_With_Integrity_Strategy.pdf,1,None,GB0030927254;US00212V1052
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Carrefour_S_A+2023,Fashion Revolution+Fashion Transparency Index 2023,Carrefour S.A.,2023,2.3500027384623383,,,,,,FR0000045650;FR0000045668;FR0000120172;FR0000965527;FR0013383213;FR0013419736;FR0013505260;FR0014009DZ6;FR0014009E07;FR001400D0F9;FR001400HU68;FR001400LUK3;FR0126844838;FR0126844861;FR0126845090;FR0126846247;FR0126846254;FR0126864760;FR0126865189;FR0126867730;FR0126871534;FR0126872144;FR0126872987;FR0126873068;FR0126873076;FR0126894775;FR0126894791;FR0126894916;FR0126936006;FR0126968850;FR0126969411;FR0126969650;FR0126970039;FR0126970104;FR0126970153;FR0126971987;FR0127006502;FR0127009688;FR0127010405;FR0127433516;FR0127657460;FR0127684613;FR0127770222;FR0128482116;FR0128506591;FR0128506773;FR0128508035;FR0128513357;FR0128514074;FR0128537893;FR0128539527;FR0128540228;FR0128567189;FR0128567379;FR0128567759;FR0128567775;FR0128567809;FR0128567833;FR0128568021;FR0128568260;FR0128580992;FR0128607316;FR0128608660;FR0128609320;FR0128633767;FR0128633957;FR0128635010;FR0128636786;FR0128637768;FR0128637974;FR0128638063;FR0128638113;FR0128638386;FR0128638451;FR0128638469;FR0128638683;FR0128638691;FR0128638709;FR0128638717;FR0128638725;FR0128638782;FR0128638840;FR0128638899;FR0128639186;FR0128639384;FR0128657337;FR0128657469;FR0128659168;FR0128659804;FR0128662394;FR0128663533;FR0128664291;FR0128664853;FR0128664903;FR0128666445;FR0128668045;FR0128668276;FR0128668359;FR0128668367;FR0128668581;FR0128669845;FR0128691211;FR0128692953;FR0128693423;FR0128716711;FR0128718121;FR0128719046;US1444302046
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Carrefour_S_A+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Carrefour S.A.,2023,0.5555644444444444,,,,,,FR0000045650;FR0000045668;FR0000120172;FR0000965527;FR0013383213;FR0013419736;FR0013505260;FR0014009DZ6;FR0014009E07;FR001400D0F9;FR001400HU68;FR001400LUK3;FR0126844838;FR0126844861;FR0126845090;FR0126846247;FR0126846254;FR0126864760;FR0126865189;FR0126867730;FR0126871534;FR0126872144;FR0126872987;FR0126873068;FR0126873076;FR0126894775;FR0126894791;FR0126894916;FR0126936006;FR0126968850;FR0126969411;FR0126969650;FR0126970039;FR0126970104;FR0126970153;FR0126971987;FR0127006502;FR0127009688;FR0127010405;FR0127433516;FR0127657460;FR0127684613;FR0127770222;FR0128482116;FR0128506591;FR0128506773;FR0128508035;FR0128513357;FR0128514074;FR0128537893;FR0128539527;FR0128540228;FR0128567189;FR0128567379;FR0128567759;FR0128567775;FR0128567809;FR0128567833;FR0128568021;FR0128568260;FR0128580992;FR0128607316;FR0128608660;FR0128609320;FR0128633767;FR0128633957;FR0128635010;FR0128636786;FR0128637768;FR0128637974;FR0128638063;FR0128638113;FR0128638386;FR0128638451;FR0128638469;FR0128638683;FR0128638691;FR0128638709;FR0128638717;FR0128638725;FR0128638782;FR0128638840;FR0128638899;FR0128639186;FR0128639384;FR0128657337;FR0128657469;FR0128659168;FR0128659804;FR0128662394;FR0128663533;FR0128664291;FR0128664853;FR0128664903;FR0128666445;FR0128668045;FR0128668276;FR0128668359;FR0128668367;FR0128668581;FR0128669845;FR0128691211;FR0128692953;FR0128693423;FR0128716711;FR0128718121;FR0128719046;US1444302046
