# https://wikirate.org/Fashion_Transparency_Index_2023_full_dataset+Answer?filter%5Bcompany_keyword%5D=&filter%5Bcompany_identifier%5D%5Btype%5D=&filter%5Bcompany_identifier%5D%5Bvalue%5D=&filter%5Bmetric_keyword%5D=&filter%5Btopic%5D%5B%5D=%7E21475568&filter%5Bvalue%5D=&filter%5Bstatus%5D=exists&export_type=answer&format=csv&view=detailed&limit=5000&utf8=%E2%9C%93
"# Wikirate.org, licensed under CC BY 4.0 (https://creativecommons.org/licenses/by/4.0). See https://wikirate.org/Attribution_Guide."
# 2026-07-22 22:03:57 UTC
#
Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Puma+2023,Fashion Revolution+Fashion Transparency Index 2023,Puma,2023,6.6399545215046025,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Puma+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Puma,2023,5.777737773332444,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+4_Know_Show_Fix_Score+Puma+2023,"Fashion Revolution+4. Know, Show & Fix Score",Puma,2023,6.428380952380952,,,,,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202454,Fashion Revolution+Discloses Proportion of Workers Paid Minimum Wage,Puma,2023,No,https://wikirate.org/~15072041,15202454,https://about.puma.com/en/sustainability/social,1,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202449,Fashion Revolution+Reports on Minimum Wage Paid for Daily / Piece Rate Workers,Puma,2023,No,https://wikirate.org/~15072041,15202449,https://about.puma.com/en/sustainability/social,1,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202444,Fashion Revolution+Discloses Percentage of Workers Paid By Piece Rate,Puma,2023,No,https://wikirate.org/~15072041,15202444,https://about.puma.com/en/sustainability/social,1,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202403,Fashion Revolution+Discloses Number of Workers Affected by Recruitment Fees,Puma,2023,Yes,https://wikirate.org/~15072139,15202403,https://annual-report.puma.com/2021/downloads/puma-ar-2021_annual-report.pdf,1,"Page(s) 62,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202263,Fashion Revolution+Stakeholder Engagement in Human Rights Due Diligence,Puma,2023,Yes,https://wikirate.org/~15073016,15202263,https://cdn.about.puma.com/-/media/files/pdf/sustainability/codes-and-handbooks/2022/puma_modern_slavery_and_human_trafficking_statement_2021.pdf?rev=1c0764fb1d1e46e2ac871f4deb0ddfba,1,"Page(s) 3,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202520,Fashion Revolution+Discloses Prevalance of Collective Bargaining Violations,Puma,2023,Yes,https://wikirate.org/~15072139,15202520,https://annual-report.puma.com/2021/downloads/puma-ar-2021_annual-report.pdf,1,"Page(s) 55,",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~15202516,Fashion Revolution+Discloses Number of Collective Bargaining Agreements Providing Wages Above Legal Minimum,Puma,2023,No,https://wikirate.org/~15072041,15202516,https://about.puma.com/en/sustainability/social,1,,DE0006969603;US7458781082;US7458782072
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+H_M+2023,Fashion Revolution+Fashion Transparency Index 2023,H&M,2023,7.109952921622202,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+H_M+2023,Fashion Revolution+5. Spotlight Issues Score (2023),H&M,2023,6.4443777733324445,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+4_Know_Show_Fix_Score+H_M+2023,"Fashion Revolution+4. Know, Show & Fix Score",H&M,2023,5.714142857142857,,,,,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176299,Fashion Revolution+Discloses Proportion of Workers Paid Minimum Wage,H&M,2023,Yes,https://wikirate.org/~15076047,15176299,https://hmgroup.com/wp-content/uploads/2023/03/HM-Group-Sustainability-Disclosure-2022.pdf,2,"Page(s) 72-76, 85",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176294,Fashion Revolution+Reports on Minimum Wage Paid for Daily / Piece Rate Workers,H&M,2023,No,https://wikirate.org/~15075882,15176294,https://hmgroup.com/sustainability/fair-and-equal/wages/,1,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176289,Fashion Revolution+Discloses Percentage of Workers Paid By Piece Rate,H&M,2023,No,https://wikirate.org/~15075832,15176289,https://hmgroup.com/sustainability/,1,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176250,Fashion Revolution+Discloses Number of Workers Affected by Recruitment Fees,H&M,2023,Yes,https://wikirate.org/~15076037,15176250,https://hmgroup.com/wp-content/uploads/2023/03/HM-Group-Modern-Slavery-Statement-2022.pdf,1,"Page(s) 11,",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176119,Fashion Revolution+Stakeholder Engagement in Human Rights Due Diligence,H&M,2023,Yes,https://wikirate.org/~15075907,15176119,https://hmgroup.com/sustainability/standards-and-policies/modern-slavery-statement/,2,"Page(s) 4, Page(s) Modern Slavery Act Statement 2021",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176359,Fashion Revolution+Discloses Prevalance of Collective Bargaining Violations,H&M,2023,Yes,https://wikirate.org/~15075922,15176359,https://hmgroup.com/sustainability/sustainability-reporting/,2,"Page(s) 59, Page(s) Sustainability Disclosure 2021",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~15176355,Fashion Revolution+Discloses Number of Collective Bargaining Agreements Providing Wages Above Legal Minimum,H&M,2023,No,https://wikirate.org/~15075832,15176355,https://hmgroup.com/sustainability/,1,,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/Fashion_Revolution+Fashion_Transparency_Index_2023+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+Fashion Transparency Index 2023,Marks and Spencer Group plc,2023,3.809988257151323,,,,,,GB0031274896
https://wikirate.org/Fashion_Revolution+5_Spotlight_Issues_Score_2023+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+5. Spotlight Issues Score (2023),Marks and Spencer Group plc,2023,2.7777666666666665,,,,,,GB0031274896
https://wikirate.org/Fashion_Revolution+4_Know_Show_Fix_Score+Marks_and_Spencer_Group_plc+2023,"Fashion Revolution+4. Know, Show & Fix Score",Marks and Spencer Group plc,2023,4.5237380952380954,,,,,,GB0031274896
https://wikirate.org/~15190377,Fashion Revolution+Discloses Proportion of Workers Paid Minimum Wage,Marks and Spencer Group plc,2023,No,https://wikirate.org/~15073859,15190377,https://corporate.marksandspencer.com/sustainability,1,,GB0031274896
https://wikirate.org/~15190372,Fashion Revolution+Reports on Minimum Wage Paid for Daily / Piece Rate Workers,Marks and Spencer Group plc,2023,No,https://wikirate.org/~15073859,15190372,https://corporate.marksandspencer.com/sustainability,1,,GB0031274896
https://wikirate.org/~15190367,Fashion Revolution+Discloses Percentage of Workers Paid By Piece Rate,Marks and Spencer Group plc,2023,No,https://wikirate.org/~15073859,15190367,https://corporate.marksandspencer.com/sustainability,1,,GB0031274896
https://wikirate.org/~15190332,Fashion Revolution+Discloses Number of Workers Affected by Recruitment Fees,Marks and Spencer Group plc,2023,No,https://wikirate.org/~15072660,15190332,https://assets.worldbenchmarkingalliance.org/app/uploads/2020/11/Marks-and-Spencer-CHRB-scorecard-2020.pdf,1,,GB0031274896
https://wikirate.org/~15190211,Fashion Revolution+Stakeholder Engagement in Human Rights Due Diligence,Marks and Spencer Group plc,2023,Yes,https://wikirate.org/~15073748,15190211,https://corporate.marksandspencer.com/sites/marksandspencer/files/marks-spencer/human-rights-and-our-supply/Jan%202023%20-%20154PA_Modern%20Slavery%20Statement_2021-22_FINAL_.pdf,1,,GB0031274896
https://wikirate.org/~15190433,Fashion Revolution+Discloses Prevalance of Collective Bargaining Violations,Marks and Spencer Group plc,2023,No,https://wikirate.org/~15073859,15190433,https://corporate.marksandspencer.com/sustainability,1,,GB0031274896
https://wikirate.org/~15190429,Fashion Revolution+Discloses Number of Collective Bargaining Agreements Providing Wages Above Legal Minimum,Marks and Spencer Group plc,2023,No,https://wikirate.org/~15073859,15190429,https://corporate.marksandspencer.com/sustainability,1,,GB0031274896
